Organisation,Allocation,Group,Factor,Description,Rate,Place numbers,Full year sub-total,Part year sub-total,Sub-total,Total
Mole Catch Academy,General annual grant: academic year 2021 to 2022,Post-opening grant,Post-opening grant,Per pupil resources,,,,,25000,
Mole Catch Academy,General annual grant: academic year 2021 to 2022,Post-opening grant,Post-opening grant,Leadership or other costs to build up pupil numbers,,,,,0,
Mole Catch Academy,General annual grant: academic year 2021 to 2022,Post-opening grant,Post-opening grant,Total post-opening grant,,,,,25000,
Mole Catch Academy,General annual grant: academic year 2021 to 2022,Post-opening grant,,Total post-opening grant,,,,,,25000
Mole Catch Academy,General annual grant: academic year 2021 to 2022,High needs,Pre-16 high needs,Alternative provision,10000,0,0,0,,
Mole Catch Academy,General annual grant: academic year 2021 to 2022,High needs,Pre-16 high needs,Special,10000,56,560000,560000,,
Mole Catch Academy,General annual grant: academic year 2021 to 2022,High needs,Pre-16 high needs,Total pre-16 high needs,,,,,560000,
Mole Catch Academy,General annual grant: academic year 2021 to 2022,High needs,Hospital education funding,Hospital education funding,,0,0,0,,
Mole Catch Academy,General annual grant: academic year 2021 to 2022,High needs,,Total high needs,,,,,,560000
Mole Catch Academy,General annual grant: academic year 2021 to 2022,,,Total allocation,,,,,,585000
