Organisation,Allocation,Block,Factor,Description,Calculation,Full year sub-total,Part year sub-total,Sub-total,Total
Mole Catch Academy,General annual grant: academic year 2021 to 2022,School budget share,Basic entitlement,Primary (including reception),,455421.62,190381.17,,
Mole Catch Academy,General annual grant: academic year 2021 to 2022,School budget share,Basic entitlement,Total basic entitlement,,455421.62,190381.17,,
Mole Catch Academy,General annual grant: academic year 2021 to 2022,School budget share,Deprivation,Primary IDACI band A - most deprived,,0,0,,
Mole Catch Academy,General annual grant: academic year 2021 to 2022,School budget share,Deprivation,Primary IDACI band B,,215.95,90.27,,
Mole Catch Academy,General annual grant: academic year 2021 to 2022,School budget share,Deprivation,Primary IDACI band C,,0,0,,
Mole Catch Academy,General annual grant: academic year 2021 to 2022,School budget share,Deprivation,Primary IDACI band D,,0,0,,
Mole Catch Academy,General annual grant: academic year 2021 to 2022,School budget share,Deprivation,Primary IDACI band E,,0,0,,
Mole Catch Academy,General annual grant: academic year 2021 to 2022,School budget share,Deprivation,Primary IDACI band F - least deprived,,0,0,,
Mole Catch Academy,General annual grant: academic year 2021 to 2022,School budget share,Deprivation,Primary free school meals,,34487.28,14416.81,,
Mole Catch Academy,General annual grant: academic year 2021 to 2022,School budget share,Deprivation,Primary pupils eligible for free school meals in past 6 years,,0,0,,
Mole Catch Academy,General annual grant: academic year 2021 to 2022,School budget share,Deprivation,Total deprivation,,34703.23,14507.08,,
Mole Catch Academy,General annual grant: academic year 2021 to 2022,School budget share,Children looked-after,Total children looked-after,,0,0,,
Mole Catch Academy,General annual grant: academic year 2021 to 2022,School budget share,Low prior attainment,Primary pupils not achieving the expected levels of development,,10430.91,4360.46,,
Mole Catch Academy,General annual grant: academic year 2021 to 2022,School budget share,Low prior attainment,Total low prior attainment,,10430.91,4360.46,,
Mole Catch Academy,General annual grant: academic year 2021 to 2022,School budget share,English as an additional language,Primary pupils in first 3 years of education within England,,321.98,134.6,,
Mole Catch Academy,General annual grant: academic year 2021 to 2022,School budget share,English as an additional language,Total English as an additional language,,321.98,134.6,,
Mole Catch Academy,General annual grant: academic year 2021 to 2022,School budget share,Mobility,Primary pupils starting school on unusual entry dates (proportion above 6%),,4775.13,1996.16,,
Mole Catch Academy,General annual grant: academic year 2021 to 2022,School budget share,Mobility,Total mobility,,4775.13,1996.16,,
Mole Catch Academy,General annual grant: academic year 2021 to 2022,School budget share,,Total pupil-led factors,,505652.86,211379.48,,
Mole Catch Academy,General annual grant: academic year 2021 to 2022,School budget share,London fringe area,Total for costs of higher teacher salaries,,10394.87,4345.39,,
Mole Catch Academy,General annual grant: academic year 2021 to 2022,School budget share,Lump sum,Total primary lump sum,,159149.83,66529.85,,
Mole Catch Academy,General annual grant: academic year 2021 to 2022,School budget share,,Total other factors,,169544.7,70875.24,,
Mole Catch Academy,General annual grant: academic year 2021 to 2022,School budget share,Minimum funding level,Minimum per pupil funding level set by local authority,,0,,,
Mole Catch Academy,General annual grant: academic year 2021 to 2022,School budget share,Minimum funding level,Total adjustment to make sure minimum funding level is met,,0,0,,
Mole Catch Academy,General annual grant: academic year 2021 to 2022,School budget share,,Total funding adjustments,,0,0,,
Mole Catch Academy,General annual grant: academic year 2021 to 2022,School budget share,,Total school budget share,,,,,282254.72
Mole Catch Academy,General annual grant: academic year 2021 to 2022,Protection funding,Change in local authority per pupil average rate,2021 to 2022,,,,3324.83,
Mole Catch Academy,General annual grant: academic year 2021 to 2022,Protection funding,Change in local authority per pupil average rate,2020 to 2021,-,,,3158.37,
Mole Catch Academy,General annual grant: academic year 2021 to 2022,Protection funding,Change in local authority per pupil average rate,2020 to 2021,/,,,3158.37,
Mole Catch Academy,General annual grant: academic year 2021 to 2022,Protection funding,Change in local authority per pupil average rate,Change in local authority average per pupil rate,=,,,0.0527,
Mole Catch Academy,General annual grant: academic year 2021 to 2022,Protection funding,,Total protection funding,,,,,0
Mole Catch Academy,General annual grant: academic year 2021 to 2022,,,Total allocation (based on being open 153 days),,,,,282254.72
