Organisation,Allocation,Block,Factor,Description,Rate,Weighting,Pupils,Place numbers,Calculation,Total
Mole Catch Academy,General annual grant: academic year 2021 to 2022,School budget share,Basic entitlement,Key Stage 3,3862.65,1,347,,,1340339.55
Mole Catch Academy,General annual grant: academic year 2021 to 2022,School budget share,Basic entitlement,Key Stage 4,4385.81,1,224,,,982421.44
Mole Catch Academy,General annual grant: academic year 2021 to 2022,School budget share,Basic entitlement,Total basic entitlement,,,761,,,2322760.99
Mole Catch Academy,General annual grant: academic year 2021 to 2022,School budget share,Deprivation,Secondary IDACI band A - most deprived,0,0.003953,761,,,0
Mole Catch Academy,General annual grant: academic year 2021 to 2022,School budget share,Deprivation,Secondary IDACI band B,0,0.02108,761,,,0
Mole Catch Academy,General annual grant: academic year 2021 to 2022,School budget share,Deprivation,Secondary IDACI band C,0,0.017128,761,,,0
Mole Catch Academy,General annual grant: academic year 2021 to 2022,School budget share,Deprivation,Secondary IDACI band D,0,0.02635,761,,,0
Mole Catch Academy,General annual grant: academic year 2021 to 2022,School budget share,Deprivation,Secondary IDACI band E,0,0.065876,761,,,0
Mole Catch Academy,General annual grant: academic year 2021 to 2022,School budget share,Deprivation,Secondary IDACI band F - least deprived,0,0.094862,761,,,0
Mole Catch Academy,General annual grant: academic year 2021 to 2022,School budget share,Deprivation,Secondary free school meals,0,0.086728,761,,,80125.87
Mole Catch Academy,General annual grant: academic year 2021 to 2022,School budget share,Deprivation,Secondary pupils eligible for free school meals in past 6 years,0,0.182654,761,,,135731.57
Mole Catch Academy,General annual grant: academic year 2021 to 2022,School budget share,Deprivation,Total deprivation,,,,,,215857.44
Mole Catch Academy,General annual grant: academic year 2021 to 2022,School budget share,Looked after children,Total looked after children,0,0.014134,761,,,0
Mole Catch Academy,General annual grant: academic year 2021 to 2022,School budget share,Low prior attainment,Secondary pupils not achieving the expected standards in KS3 tests,1701.95,0.144829,761,,,187580.2
